,file,status
209,iphone_2021-06-25_1668841279-06369,preprocessed
210,iphone_2021-06-25_1668841316-9014258,preprocessed
211,iphone_2021-06-25_1668841885-4390674,pushed
212,iphone_2021-06-25_1668843632-8875496,pushed
213,iphone_2021-06-25_1669035132-1713297,pushed
214,iphone_2021-06-25_1669035464-3169858,collected
215,iphone_2021-06-25_1669307405-9299667,pushed
216,iphone_2021-06-25_1669307712-308561,pushed
217,iphone_2021-06-25_1669311120-4058995,pushed
218,iphone_2021-06-25_1669311575-8474307,pushed
219,iphone_2021-06-25_1669708579-0937705,pushed
220,iphone_2021-06-25_1669711981-9792552,pushed
